PROGRAMA,CONVENIO,CONVOCATORIA,ANIO,ID BENEFICIO,CC TI BENEFICIARIO,NOMBRES,APELLIDOS,EMAIL,CODIGO DEPARTAMENTO,DEPARTAMENTO DE RESIDENCIA,CODIGO DEL MUNICIPIO,CIUDAD DE RESIDENCIA,ESTRATO,GENERO,NIVEL DE PROGRAMA,TIPO INSTITUCION,CODIGO DEPARTAMENTO IE,DEPARTAMENTO IE,CODIGO CIUDAD IE,CIUDAD IE,NOMBRE IE,CODIGO IE,PROGRAMA ACADEMICO,TIPO PROGRAMA,MONTO_COMPROMETIDO,NATURALEZA INSTITUCION,MODALIDAD PROGRAMA,ESTADO,OBSERVACIONES,META,FECHA ACTUALIZACION,CODIGO MUNICIPIO RESIDENCIA,CODIGO MUNICIPIO IE,FECHA_VIGENCIA
,FONDO 1047,2013-2,2013,,,,,,8,ATLANTICO,8001,BARRANQUILLA,4,M,TECNICO INFORMAL,S_I,0,PENDIENTE CLASIFICAR,0,PENDIENTE CLASIFICAR,Software Ingeneering on time S.A.S. (SEONTI),900432652-0,PSP FUNDAMENTALS TRAINING Y PSP ADVANCED TRAINING MAS EXAMEN,TI,"8845831,82",S_I,PRESENCIAL,ACTIVO,,10400,31/12/2013,8001,0,31/12/2013
,FONDO 577,2015-2,2015,,,,,,8,ATLANTICO,8001,BARRANQUILLA,1,M,UNIVERSITARIO,S_I,0,PENDIENTE CLASIFICAR,0,PENDIENTE CLASIFICAR,UNIVERSIDAD AUTONOMA DEL CARIBE,1804,INGENIERIA DE SISTEMAS,TI,"47332189,26",S_I,PRESENCIAL,ACTIVO,RENOVACION IES,10400,31/12/2015,8001,0,31/12/2015
,CONTRATO 666 DE 2015,2016-1,2016,,,,,,8,ATLANTICO,8001,BARRANQUILLA,2,F,VOCACIONAL,S_I,11,BOGOTA,11001,"BOGOTA, D.C.",PUNTO VIVE DIGITAL SUR BRITALIA,0,HACIATI,OTROS,"139002,2",S_I,VIRTUAL,ACTIVO,COLEGIO AMERICANO DE BARRANQUILLA,10400,31/12/2016,8001,11001,31/12/2016
,CONTRATO 666 DE 2015,2016-2,2016,,,,,,8,ATLANTICO,8001,BARRANQUILLA,2,F,VOCACIONAL,S_I,11,BOGOTA,11001,"BOGOTA, D.C.",PUNTO VIVE DIGITAL SUR BRITALIA,0,HACIATI,OTROS,"139002,2",S_I,VIRTUAL,ACTIVO,NUEVO COLEGIO TECNICO DEL SANTUARIO,10400,31/12/2016,8001,11001,31/12/2016
,FONDO 432,2015-1,2015,,,,,,8,ATLANTICO,8001,BARRANQUILLA,3,F,TECNICO INFORMAL,S_I,0,PENDIENTE CLASIFICAR,0,PENDIENTE CLASIFICAR,Intelligent Training Colombia S.A,830511609-9,PROJECT MANAGEMENT PROFESSIONAL (PMP) - ENFASIS: LEADERSHIP AND MANAGEMENT SKILLS (LMS),TI,4331275,S_I,PRESENCIAL,ACTIVO,EN PROCESO DE CONDONACON,10400,31/12/2015,8001,0,31/12/2015
,ALIANZA 665,2016-2,2016,,,,,,8,ATLANTICO,8758,SOLEDAD,1,M,UNIVERSITARIO,S_I,0,PENDIENTE CLASIFICAR,0,PENDIENTE CLASIFICAR,CORPORACION UNIVERSITARIA AMERICANA,9119,INGENIERIA DE SISTEMAS,TI,"18527489,79",S_I,PRESENCIAL,ACTIVO,En proceso de estudio,10400,31/12/2016,8758,0,31/12/2016
,CONTRATO 666 DE 2015,2016-1,2016,,,,,,8,ATLANTICO,8296,GALAPA,1,F,VOCACIONAL,S_I,11,BOGOTA,11001,"BOGOTA, D.C.",PUNTO VIVE DIGITAL SUR BRITALIA,0,HACIATI,OTROS,"139002,2",S_I,VIRTUAL,ACTIVO,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,10400,31/12/2016,8296,11001,31/12/2016
,CONTRATO 666 DE 2015,2016-1,2016,,,,,,8,ATLANTICO,8296,GALAPA,1,F,VOCACIONAL,S_I,11,BOGOTA,11001,"BOGOTA, D.C.",PUNTO VIVE DIGITAL SUR BRITALIA,0,HACIATI,OTROS,"139002,2",S_I,VIRTUAL,ACTIVO,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,10400,31/12/2016,8296,11001,31/12/2016
,CONTRATO 666 DE 2015,2016-1,2016,,,,,,8,ATLANTICO,8296,GALAPA,1,F,VOCACIONAL,S_I,11,BOGOTA,11001,"BOGOTA, D.C.",PUNTO VIVE DIGITAL SUR BRITALIA,0,HACIATI,OTROS,"139002,2",S_I,VIRTUAL,ACTIVO,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,10400,31/12/2016,8296,11001,31/12/2016
,CONTRATO 666 DE 2015,2016-1,2016,,,,,,8,ATLANTICO,8296,GALAPA,1,F,VOCACIONAL,S_I,11,BOGOTA,11001,"BOGOTA, D.C.",PUNTO VIVE DIGITAL SUR BRITALIA,0,HACIATI,OTROS,"139002,2",S_I,VIRTUAL,ACTIVO,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,10400,31/12/2016,8296,11001,31/12/2016
